brand,model,car_name,price,year,hand_num,horse_power,4x4,fuel_type,engine_volume,valid_test,magnesium_wheels,distance_control,economical,adaptive_cruise_control,cruise_control,brand_group,car_age,price_per_hp,price_per_liter,age_bucket,price_bucket
bmw,x6,BMW X6,13000.0,2018,3,381.0,1,diesel,3.0,0,1,1,0,1,1,Luxury,7,34.120734908136484,4333.333333333333,7-10,0-50k
peugeot,5008,Peugeot 5008,99000.0,2019,2,180.0,0,petrol,1.6,0,0,1,1,1,1,Other,6,550.0,61875.0,4-6,50-100k
skoda,octavia,Skoda Octavia,87000.0,2020,1,150.0,0,petrol,1.5,1,0,0,0,0,0,Budget,5,580.0,58000.0,4-6,50-100k
saic,marvel r,If. G. / MG Marvel R,199888.0,2024,1,180.0,0,electric,,0,0,1,1,0,0,Other,1,1110.4888888888888,,0-3,100-200k
renault,grand scenic,Renault Grand Scenic,57000.0,2020,1,140.0,0,petrol,1.3,1,1,1,0,0,0,Budget,5,407.14285714285717,43846.153846153844,4-6,50-100k
toyota,yaris,Toyota Yaris,39900.0,2014,3,99.0,0,petrol,1.3,1,0,0,1,0,0,Budget,11,403.030303030303,30692.30769230769,11-15,0-50k
renault,megane estate/ grand tour,Renault Megane Estate/ Grand Tour,71000.0,2021,1,116.0,0,diesel,1.5,1,0,1,0,0,0,Budget,4,612.0689655172414,47333.333333333336,4-6,50-100k
toyota,corolla hybrid,Toyota Corolla Hybrid,124000.0,2021,1,98.0,0,petrol,1.8,1,0,0,1,0,0,Budget,4,1265.3061224489795,68888.88888888889,4-6,100-200k
mitsubishi,asx,Mitsubishi ASX,92000.0,2022,1,150.0,0,petrol,2.0,0,1,1,1,0,0,Other,3,613.3333333333334,46000.0,0-3,50-100k
skoda,citigo,Skoda Citigo / Citigo,31900.0,2018,3,60.0,0,petrol,1.0,0,1,1,1,0,0,Budget,7,531.6666666666666,31900.0,7-10,0-50k
skoda,octavia,Skoda Octavia,83000.0,2019,1,150.0,0,petrol,1.5,1,0,0,0,0,0,Budget,6,553.3333333333334,55333.333333333336,4-6,50-100k
suzuki,sx4,Suzuki SX4 crossover,29200.0,2014,2,118.0,0,petrol,1.6,1,0,0,0,0,0,Budget,11,247.45762711864407,18250.0,11-15,0-50k
hyundai,i20,Hyundai i20,14375.0,2010,2,126.0,0,petrol,1.6,1,1,0,0,0,0,Budget,15,114.08730158730158,8984.375,11-15,0-50k
mercedes-benz,ml,Mercedes ML Class,89000.0,2011,3,272.0,1,petrol,3.5,1,1,0,0,0,0,Luxury,14,327.20588235294116,25428.571428571428,11-15,50-100k
mazda,cx-5,Mazda CX-5,120000.0,2019,1,165.0,0,petrol,2.0,0,1,1,0,1,1,Other,6,727.2727272727273,60000.0,4-6,100-200k
kia,ceed,Kia CEED / CEED,26000.0,2016,2,136.0,0,diesel,1.6,1,0,1,1,0,0,Budget,9,191.1764705882353,16250.0,7-10,0-50k
suzuki,vitara,Suzuki Vitra,17000.0,2021,1,129.0,0,hybrid,1.4,1,0,0,0,0,0,Budget,4,131.7829457364341,12142.857142857143,4-6,0-50k
mercedes-benz,c-class,Mercedes C-Class,232000.0,2020,1,211.0,0,hybrid,2.0,0,1,0,1,0,0,Luxury,5,1099.5260663507108,116000.0,4-6,200-400k
hyundai,i30,Hyundai i30,28500.0,2013,2,135.0,0,petrol,1.6,1,1,0,0,0,0,Budget,12,211.11111111111111,17812.5,11-15,0-50k
nissan,qashqai,Nissan Qashqai,94000.0,2020,2,115.0,0,diesel,1.5,0,1,1,1,0,0,Budget,5,817.3913043478261,62666.666666666664,4-6,50-100k
chevrolet,captiva,Chevrolet Captiva,33000.0,2014,3,167.0,1,electric,2.4,1,1,0,0,0,0,Budget,11,197.60479041916167,13750.0,11-15,0-50k
peugeot,3008,Peugeot 3008,105000.0,2020,1,130.0,0,petrol,1.2,0,1,0,1,1,1,Other,5,807.6923076923077,87500.0,4-6,100-200k
skoda,kodiaq,Skoda Kodiaq,115000.0,2019,2,150.0,0,petrol,1.5,0,1,1,0,1,1,Budget,6,766.6666666666666,76666.66666666667,4-6,100-200k
