brand,model,car_name,price,year,hand_num,horse_power,4x4,fuel_type,engine_volume,valid_test,magnesium_wheels,distance_control,economical,adaptive_cruise_control,cruise_control,brand_normalized,brand_group,brand_raw,model_raw
skoda,rapid,Skoda Rapid,32000.0,2016,2,90.0,0,petrol,1.2,0,0,1,1,0,0,skoda,Budget,Skoda,Rapid
skoda,karoq,Skoda Karoq,79900.0,2020,2,150.0,0,petrol,1.5,0,0,1,0,1,1,skoda,Budget,Skoda,Karoq
nissan,micra,Nissan Micra,17400.0,2010,2,90.0,0,petrol,1.4,1,0,0,0,0,0,nissan,Budget,Nissan,Micra
suzuki,baleno,Suzuki Belno,54000.0,2019,0,90.0,0,petrol,1.2,0,0,1,0,1,1,suzuki,Budget,Suzuki,Belno
peugeot,3008,Peugeot 3008,105990.0,2020,1,130.0,0,petrol,1.2,0,0,0,0,0,0,peugeot,Other,Peugeot,3008
ford,mustang,Ford Mustang,160000.0,2017,3,310.0,0,petrol,2.3,0,1,1,0,0,0,ford,Other,Ford,Mustang
kia,rio,Kia Rio,28000.0,2013,2,109.0,0,petrol,1.4,1,0,1,0,0,0,kia,Budget,Kia,Rio
mitsubishi,grandis,Mitsubishi Grandis,20000.0,2010,2,165.0,0,petrol,2.4,1,0,0,0,0,0,mitsubishi,Other,Mitsubishi,Grandis
honda,civic,The new Honda Civic hatchback,45999.0,2014,2,142.0,0,petrol,1.8,0,1,1,0,0,0,honda,Budget,Honda,Civic
hyundai,i20,Hyundai i20,14900.0,2014,4,85.0,0,petrol,1.2,0,1,1,0,0,0,hyundai,Budget,Hyundai,i20
seat,leon,Seat Leon,65000.0,2015,5,180.0,0,petrol,1.8,0,1,0,1,0,0,seat,Budget,Seat,Leon
buick,lucerne,Buick Lucerne,20000.0,2009,5,197.0,0,petrol,3.8,0,0,0,0,0,0,buick,Other,Buick,Lucerne
skoda,karoq,Skoda Karoq,85000.0,2019,3,150.0,0,petrol,1.5,0,0,0,0,0,0,skoda,Budget,Skoda,Karoq
kia,sportage,Kia Sportage,115000.0,2021,1,177.0,0,petrol,1.6,0,0,0,0,0,0,kia,Budget,Kia,Sportage
kia,ceed,Kia CEED / CEED,16500.0,2015,2,128.0,0,diesel,1.6,0,0,0,0,0,0,kia,Budget,Kia,CEED
mercedes-benz,gle,Mercedes GLE,10000.0,2017,2,333.0,1,hybrid,3.0,0,0,0,0,0,0,mercedes,Luxury,Mercedes,GLE
nissan,qashqai,Nissan Qashqai,49000.0,2016,4,115.0,0,petrol,1.2,0,0,0,0,0,0,nissan,Budget,Nissan,Qashqai
nissan,qashqai,Nissan Qashqai,3000.0,2014,3,140.0,0,petrol,2.0,0,0,0,0,0,0,nissan,Budget,Nissan,Qashqai
skoda,superb,Skoda Superb (until 2019),70000.0,2019,2,150.0,0,petrol,1.5,0,0,0,0,0,0,skoda,Budget,Skoda,Superb
kia,picanto,Kia Picanto,76500.0,2022,2,84.0,0,petrol,1.2,0,0,0,0,0,0,kia,Budget,Kia,Picanto
kia,picanto,Kia Picanto,27000.0,2013,2,85.0,0,petrol,1.2,0,0,0,0,0,0,kia,Budget,Kia,Picanto
mazda,b2500,Mazda B2500 4X4,20000.0,1998,3,78.0,1,diesel,2.5,0,0,0,0,0,0,mazda,Other,Mazda,B2500
honda,civic,Honda Civic (up to 2006),15000.0,1998,1,125.0,0,petrol,1.6,0,0,0,0,0,0,honda,Budget,Honda,Civic
peugeot,2008,Peugeot 2008,29000.0,2019,2,120.0,0,diesel,1.5,0,1,1,0,0,0,peugeot,Other,Peugeot,2008
honda,civic,The new Honda Civic sedan,59500.0,2017,1,142.0,0,petrol,1.8,1,1,0,0,0,0,honda,Budget,Honda,Civic
skoda,superb,Skoda Superb (until 2019),74900.0,2016,3,220.0,0,petrol,2.0,0,1,1,0,0,0,skoda,Budget,Skoda,Superb
peugeot,3008,Peugeot 3008,120000.0,2022,1,130.0,0,petrol,1.2,0,0,1,0,1,1,peugeot,Other,Peugeot,3008
skoda,fabia,Skoda Fabia,37000.0,2016,0,110.0,0,petrol,1.2,1,0,0,0,0,0,skoda,Budget,Skoda,Fabia
land rover,range rover evoque,Land Rover Range Rover Evoque,155000.0,2019,3,240.0,1,petrol,2.0,0,0,0,0,0,0,land rover,Luxury,Land Rover,Range Rover Evoque
citroën,berlingo,Citroen Berlingo 2nd generation (2008-2019),38900.0,2016,5,92.0,0,diesel,1.6,1,0,0,1,0,0,citroen,Other,Citroen,Berlingo
citroën,berlingo,Citroen Berlingo 2nd generation (2008-2019),32900.0,2016,2,75.0,0,diesel,1.6,1,0,0,1,0,0,citroen,Other,Citroen,Berlingo
mitsubishi,attrage,Mitsubishi Atrage,27000.0,2016,2,80.0,0,petrol,1.2,1,1,0,0,0,0,mitsubishi,Other,Mitsubishi,Atrage
mazda,cx-5,Mazda CX-5,57000.0,2014,3,155.0,0,petrol,2.0,0,1,0,1,0,0,mazda,Other,Mazda,CX-5
kia,sorento,Kia Sorento,85000.0,2016,2,188.0,0,petrol,2.4,0,1,1,0,0,0,kia,Budget,Kia,Sorento
skoda,octavia,Skoda Octavia,69999.0,2019,2,150.0,0,petrol,1.5,1,0,0,0,0,0,skoda,Budget,Skoda,Octavia
mitsubishi,outlander,Mitsubishi Outlander,75000.0,2016,3,150.0,1,petrol,2.0,0,0,1,0,1,1,mitsubishi,Other,Mitsubishi,Outlander
toyota,corolla hybrid,Toyota Corolla Hybrid,105000.0,2020,1,98.0,0,hybrid,1.8,0,1,0,0,0,0,toyota,Budget,Toyota,Corolla Hybrid
peugeot,3008,Peugeot 3008,119900.0,2021,1,130.0,0,diesel,1.5,0,1,1,0,0,0,peugeot,Other,Peugeot,3008
hyundai,ioniq,Hyundai Ioniq,95000.0,2021,0,141.0,0,hybrid,1.6,0,1,1,0,0,0,hyundai,Budget,Hyundai,Ioniq
ford,mustang,Ford Mustang,230000.0,2021,2,310.0,0,petrol,2.3,0,0,0,0,0,0,ford,Other,Ford,Mustang
volvo,xc60,Volvo XC60,135000.0,2018,4,407.0,1,hybrid,2.0,0,0,0,0,0,0,volvo,Other,Volvo,XC60
